Udise_Code,ClassCode,Total_Seats,RTE_Seats,admitted,Dropout,Retaining
22100709014,C011,0,0,0,0,0
22260910604,C004,20,5,5,0,5
22012300418,C005,0,0,0,0,0
22112200725,C006,0,0,0,0,0
22191604103,C010,0,0,0,0,0
22110612502,C006,0,0,0,0,0
22061706903,C008,0,0,0,0,0
22100700817,C006,0,0,0,0,0
22101106308,C003,0,0,0,0,0
22110406129,C001,50,12,7,0,7
22090616452,C005,0,0,0,0,0
22070605822,C010,40,10,1,0,1
22052311912,C010,0,0,0,0,0
22020200113,C006,0,0,0,0,0
22141800405,C012,0,0,0,0,0
22172612519,C005,45,4,4,1,3
22241207507,C010,0,0,0,0,0
22012300609,C007,27,4,4,0,4
22100722610,C012,0,0,0,0,0
22012017001,C010,0,0,0,0,0
22191614702,C008,30,8,2,0,2
22242002607,C012,40,0,0,0,0
22072506021,C004,7,1,0,0,0
22110402132,C009,0,0,0,0,0
22271409905,C005,0,0,0,0,0
22130310609,C012,0,0,0,0,0
22090312703,C012,0,0,0,0,0
22241013705,C001,0,0,0,0,0
22191217504,C008,0,0,0,0,0
22020110406,C012,0,0,0,0,0
22110427805,C012,0,0,0,0,0
22161905708,C001,0,0,0,0,0
22031008220,C001,20,5,5,0,5
22120900603,C012,0,0,0,0,0
22041629706,C009,20,3,3,0,3
22231214902,C006,5,1,1,0,1
22241801104,C007,5,2,2,0,2
22050903702,C008,40,10,3,0,3
22020106507,C012,0,0,0,0,0
22100604505,C005,0,0,0,0,0
22100726228,C007,25,5,0,0,0
22112202010,C006,28,7,7,1,6
22061907318,C011,0,0,0,0,0
22241012007,C006,NULL,NULL,NULL,NULL,NULL
22072514502,C011,0,0,0,0,0
22110428429,C008,0,0,0,0,0
22100607507,C002,46,12,12,0,12
22112201012,C003,25,6,6,1,5
22070307317,C009,0,0,0,0,0
22110422410,C007,0,0,0,0,0
22030709505,C006,18,3,3,0,3
22133015305,C004,16,4,4,0,4
22050910817,C011,0,0,0,0,0
22072501203,C009,0,0,0,0,0
22172807510,C002,0,0,0,0,0
